0,1,2,3,4,5,6,7,8,9,10,11,12,13
30,1,197058,6,12,3,6,4,1,1,0,0,40,1
24,1,42706,7,11,3,13,4,1,2,0,0,60,1
50,5,50459,4,9,1,5,3,1,2,0,0,42,1
18,0,196061,2,10,3,0,2,1,2,0,0,33,1
42,5,175674,8,5,1,3,3,1,2,0,0,40,1
54,1,449257,4,9,1,10,3,1,2,0,0,40,1
53,4,225339,2,10,4,9,4,5,1,0,0,40,1
23,5,115244,1,13,3,6,2,1,1,0,0,60,1
23,1,54012,4,9,1,11,3,1,2,0,0,60,1
34,1,238246,1,13,3,6,4,1,1,0,0,40,1
41,1,227644,4,9,1,11,3,1,2,0,0,50,1
49,1,175958,2,10,1,4,3,1,2,0,0,80,1
51,1,185283,2,10,1,5,3,1,2,0,0,45,1
63,0,401531,12,2,1,0,3,1,2,0,0,35,1
51,1,122159,2,10,4,6,4,1,1,3325,0,40,1
62,1,273454,9,4,1,13,3,1,2,0,0,40,13
57,4,278763,4,9,2,9,6,1,1,0,0,40,1
41,1,195124,11,14,3,5,4,1,2,0,0,35,24
44,2,483201,1,13,1,5,3,1,2,0,0,40,1
42,1,150533,2,10,1,5,3,1,2,7298,0,52,1
34,1,108116,1,13,1,6,3,1,2,0,0,50,1
51,1,120914,9,4,1,2,3,1,2,2961,0,40,1
38,5,72338,4,9,1,13,3,2,2,0,0,54,1
32,1,205019,6,12,3,4,4,5,2,0,0,50,1
31,1,127610,1,13,1,6,1,1,1,0,0,40,1
39,1,138192,1,13,1,2,3,1,2,0,0,40,1
45,1,188386,4,9,1,7,3,1,2,0,1628,45,1
24,3,165474,1,13,3,4,2,1,2,0,0,40,1
34,1,190040,4,9,1,9,1,1,1,0,0,40,1
52,3,51048,1,13,1,4,3,1,2,0,0,55,1
50,1,147629,11,14,1,6,3,1,2,15024,0,45,1
30,1,204704,1,13,3,5,6,1,1,0,0,45,1
56,2,145574,4,9,1,3,3,1,2,0,1902,60,1
43,1,176270,1,13,1,5,3,1,2,99999,0,60,1
46,1,129007,1,13,1,4,3,1,2,0,1977,40,1
42,1,285066,1,13,1,6,3,1,2,0,0,45,1
47,2,370119,1,13,1,4,3,1,2,15024,0,50,1
37,1,254202,1,13,1,4,3,1,2,0,0,50,1
35,1,343403,2,10,3,4,4,1,1,0,0,40,1
30,2,167990,7,11,1,6,3,1,2,15024,0,65,1
41,5,42346,2,10,2,3,4,5,1,0,0,24,1
30,1,103649,1,13,1,9,1,5,1,0,0,40,1
49,1,192776,11,14,1,5,3,1,2,0,1977,45,1
26,1,193945,6,12,3,1,4,1,2,0,0,45,1
38,1,296478,7,11,1,2,3,1,2,7298,0,40,1
58,1,132606,15,3,2,8,4,5,2,0,0,40,1
22,1,214731,13,6,1,8,1,1,1,0,0,40,1
61,1,120939,5,15,1,11,3,1,2,0,0,5,1
28,1,429507,6,12,1,7,3,5,2,0,0,40,1
64,0,168340,4,9,1,0,3,1,2,0,0,40,0
49,0,261059,13,6,4,0,2,1,2,2176,0,40,1
44,1,32185,4,9,3,11,6,1,2,0,0,70,1
20,0,244689,2,10,3,0,4,1,1,0,0,25,1
33,1,228528,13,6,3,2,6,1,1,0,0,35,1
29,1,200511,1,13,1,4,3,1,2,0,0,50,1
20,1,154781,4,9,3,9,4,1,1,0,0,40,1
37,1,26898,4,9,2,5,6,1,1,0,0,12,1
21,1,197200,2,10,3,8,2,1,2,0,0,40,1
46,1,563883,4,9,1,2,3,5,2,0,0,60,1
67,0,36135,3,7,1,0,3,1,2,0,0,8,1
19,1,475028,4,9,3,4,2,1,1,0,0,20,1
33,1,222205,4,9,1,2,1,1,1,0,0,40,1
32,1,364657,2,10,1,5,3,1,2,0,0,50,1
32,1,226267,2,10,1,9,3,1,2,0,0,40,21
55,2,189721,4,9,1,2,3,1,2,0,0,20,1
30,1,181992,2,10,3,4,4,5,1,0,0,35,1
35,1,203628,11,14,3,6,4,1,2,0,0,60,1
37,1,166497,1,13,2,2,4,1,2,0,0,35,1
37,1,166744,4,9,2,3,6,1,1,0,0,12,1
38,3,196373,4,9,1,5,3,1,2,0,0,40,1
55,2,179715,13,6,1,2,3,1,2,0,0,18,1
47,1,46857,2,10,2,9,4,1,2,0,0,40,1
43,1,201723,11,14,1,5,3,1,2,0,1902,40,1
70,1,30713,4,9,1,10,3,1,2,0,0,30,1
42,1,118494,2,10,1,6,3,1,2,0,0,44,1
17,1,191260,8,5,3,3,2,1,2,1055,0,24,1
54,2,406468,4,9,1,4,3,5,2,0,0,40,1
50,1,193374,12,2,6,2,6,1,2,0,0,40,1
26,1,109186,2,10,1,4,3,1,2,0,0,50,6
41,1,165309,1,13,2,9,6,1,1,0,0,40,1
45,0,51164,2,10,1,0,1,5,1,0,0,40,1
26,1,101150,4,9,2,5,4,1,1,0,0,41,1
60,0,24215,13,6,2,0,4,3,1,0,0,10,1
34,1,175413,6,12,2,4,6,5,1,0,0,45,1
35,1,186110,4,9,2,11,4,1,2,0,0,45,1
43,1,154374,2,10,1,2,3,1,2,15024,0,60,1
18,1,446839,4,9,3,4,4,1,2,0,0,30,1
21,1,199915,2,10,3,3,2,1,1,0,0,40,1
32,1,183916,4,9,3,3,4,1,1,0,0,34,1
44,1,109339,3,7,2,8,6,4,1,0,0,46,4
62,5,291175,1,13,4,6,4,1,1,0,0,48,1
60,1,85815,4,9,1,2,3,2,2,0,0,40,1
33,1,175697,1,13,1,5,3,1,2,15024,0,60,1
66,1,263637,13,6,1,13,3,1,2,0,0,40,1
32,1,402812,2,10,1,4,3,1,2,0,0,48,1
52,4,202452,4,9,2,9,4,1,1,0,0,43,1
37,1,103408,4,9,3,10,4,5,2,0,0,40,1
45,1,185385,4,9,1,2,3,1,2,0,0,47,1
38,1,215646,4,9,2,7,4,1,2,0,0,40,1
26,1,397317,11,14,3,6,4,1,1,0,1876,40,1
60,1,185749,3,7,4,11,6,5,2,0,0,40,1
41,1,180138,1,13,1,5,3,1,2,0,0,50,14
23,1,197387,15,3,1,11,5,1,2,0,0,40,21
36,1,102864,4,9,3,8,2,1,1,0,0,40,1
33,5,119829,4,9,1,9,1,1,1,0,0,60,1
39,1,324420,12,2,1,2,3,1,2,0,0,45,21
34,5,202729,4,9,1,13,3,1,2,0,0,40,1
55,1,105304,4,9,1,8,3,1,2,0,0,40,1
24,1,216129,1,13,3,4,4,1,2,0,0,50,1
33,1,111746,6,12,1,2,3,1,2,0,0,45,21
55,1,326297,4,9,4,9,4,1,1,0,0,25,1
22,1,191342,1,13,3,4,2,2,2,0,0,50,27
30,1,241259,7,11,1,11,3,1,2,0,0,40,1
48,2,104790,3,7,1,10,3,1,2,0,0,50,1
29,3,260729,4,9,1,4,1,1,1,0,1977,25,1
29,6,303446,1,13,1,6,3,1,2,0,0,25,32
57,6,68830,4,9,2,5,4,1,1,0,0,50,1
44,1,160323,4,9,3,2,4,5,2,0,0,40,1
44,5,34935,2,10,3,3,2,5,2,0,0,40,1
23,1,35633,2,10,3,4,4,1,2,0,0,40,1
41,1,206565,2,10,3,2,4,5,2,0,0,45,1
26,1,75654,4,9,2,2,4,1,2,0,0,55,1
43,1,238287,13,6,3,8,4,5,2,0,0,40,1
50,2,114117,4,9,1,5,3,1,2,0,0,32,1
25,1,199545,2,10,1,5,1,1,1,0,0,15,1
48,1,102102,7,11,1,1,3,1,2,0,0,50,1
27,1,111900,2,10,3,6,4,1,2,0,0,40,1
58,2,35723,4,9,1,2,3,1,2,0,0,60,1
25,1,109872,4,9,1,8,3,1,2,0,0,45,1
31,1,114937,6,12,1,9,3,1,2,0,0,40,1
71,1,78277,4,9,1,2,3,1,2,0,0,15,1
38,1,156728,1,13,1,4,3,1,2,0,0,40,1
38,1,166988,1,13,3,9,2,1,1,0,0,40,1
39,1,202027,1,13,1,5,3,1,2,15024,0,45,1
31,1,169104,1,13,3,4,2,2,2,0,0,40,0
19,1,104112,4,9,3,4,6,5,2,0,0,30,28
31,1,226756,4,9,3,9,2,5,2,0,0,40,1
43,1,226902,1,13,1,4,3,1,2,0,0,50,1
46,1,370119,5,15,1,6,3,1,2,99999,0,60,1
36,5,117312,2,10,1,11,1,1,1,0,0,40,1
40,1,193524,14,16,1,6,3,1,2,0,0,60,1
43,1,173728,1,13,4,6,6,1,1,0,0,40,1
47,1,256522,4,9,1,7,3,1,2,0,0,40,0
48,1,167159,7,11,3,9,6,1,2,0,0,40,1
30,3,205733,2,10,3,5,4,1,1,0,0,60,1
60,2,154474,4,9,3,10,6,1,2,0,0,42,1
24,5,248344,2,10,2,7,4,5,2,0,0,50,1
31,1,91666,4,9,3,11,4,1,2,0,0,50,1
26,1,192262,4,9,1,3,3,1,2,0,0,40,1
41,3,94113,5,15,1,6,3,1,2,0,0,60,1
59,4,212448,4,9,4,4,6,1,1,0,0,40,6
38,1,411797,7,11,2,9,6,1,1,0,0,40,1
37,1,143912,4,9,2,11,4,1,2,0,0,50,1
50,2,30653,11,14,1,10,3,1,2,2407,0,98,1
52,3,132178,1,13,1,5,3,1,2,0,0,50,1
51,5,176813,6,12,1,6,3,1,2,0,0,60,1
44,1,219288,9,4,1,2,3,1,2,0,0,35,1
40,2,34037,4,9,3,10,4,1,2,0,0,70,1
49,1,171301,4,9,1,8,1,5,1,0,0,40,1
56,1,112840,4,9,1,5,3,1,2,0,0,55,1
25,1,133373,4,9,1,11,3,1,2,0,0,60,1
54,1,99185,14,16,1,6,3,1,2,15024,0,45,1
37,5,186035,2,10,1,1,3,1,2,0,0,45,1
19,4,234151,4,9,3,9,6,5,1,0,0,40,1
24,1,303296,2,10,1,9,1,2,1,0,0,40,25
51,3,229465,11,14,1,5,3,1,2,15024,0,50,1
22,1,362589,6,12,3,4,4,1,1,0,0,15,1
28,1,296450,1,13,1,6,3,1,2,0,0,40,1
23,5,430828,2,10,4,5,6,5,2,0,0,40,1
35,1,30381,1,13,1,4,3,1,2,0,0,45,1
38,2,322143,1,13,1,3,3,1,2,0,0,10,1
22,1,122346,4,9,2,2,4,1,2,0,0,40,1
34,1,196164,4,9,3,3,4,1,1,0,0,35,1
43,1,413297,4,9,1,2,3,1,2,0,0,45,1
48,1,45612,4,9,3,9,6,5,1,0,0,37,1
40,1,216237,1,13,2,5,4,1,1,0,0,45,1
36,1,99374,2,10,2,2,4,1,2,0,0,40,1
25,1,211231,4,9,1,1,5,1,1,0,0,48,1
69,0,195779,7,11,4,0,4,1,1,0,0,1,1
26,1,167350,4,9,3,3,5,1,2,0,0,30,1
37,1,208358,4,9,1,2,3,1,2,0,0,40,1
32,1,509350,2,10,1,7,3,1,2,0,0,50,5
59,3,125000,1,13,1,5,3,1,2,0,0,40,3
60,3,197553,2,10,1,5,3,1,2,7688,0,50,1
19,5,27382,2,10,3,9,2,1,2,0,0,40,1
20,1,444554,13,6,3,7,2,1,2,0,0,40,1
29,1,267034,3,7,3,2,2,5,2,0,0,40,28
43,1,227065,11,14,1,5,3,1,2,0,0,43,1
30,1,29662,6,12,1,3,1,1,1,0,0,25,1
50,1,113176,4,9,2,9,4,1,1,0,0,40,1
18,1,216284,3,7,3,9,2,1,1,0,0,20,1
34,1,117529,2,10,1,10,3,1,2,0,0,54,21
24,1,247564,4,9,3,2,4,1,2,0,0,40,1
22,0,42004,2,10,3,0,2,1,2,0,0,30,1
36,2,28738,6,12,2,4,6,1,1,0,0,35,1
27,1,428030,1,13,3,2,4,1,2,0,0,50,1
34,6,240283,4,9,2,11,6,1,1,0,0,40,1
20,1,299047,2,10,3,3,4,1,1,0,0,20,1
27,1,124953,4,9,3,3,4,1,2,0,1980,40,1
31,5,125927,9,4,1,10,3,1,2,0,0,40,1
31,1,231263,1,13,2,5,4,1,2,4650,0,45,1
32,0,115745,2,10,1,0,3,1,2,0,0,40,1
52,1,186785,4,9,3,4,4,1,2,0,1876,50,1
43,1,174524,4,9,1,8,3,1,2,0,0,40,1
39,1,179271,2,10,1,2,3,1,2,0,0,50,1
64,1,170483,4,9,4,3,4,1,1,0,0,38,1
49,1,31339,4,9,1,2,3,1,2,0,0,40,1
60,1,53707,4,9,1,6,3,1,2,0,0,40,1
42,1,262425,2,10,1,6,3,1,2,0,0,50,1
21,0,124242,2,10,3,0,2,1,1,0,0,40,1
61,0,190997,4,9,1,0,3,1,2,0,0,6,1
28,1,215873,13,6,3,8,2,5,2,0,0,45,1
20,1,81145,2,10,3,4,4,1,1,0,0,25,1
37,3,217054,1,13,1,6,3,1,2,0,0,35,1
27,4,508336,1,13,3,5,4,5,2,0,0,48,1
24,1,140027,2,10,3,8,2,5,1,0,0,45,1
67,0,212759,13,6,1,0,3,1,2,0,0,2,1
23,1,129042,4,9,3,8,6,5,1,0,0,40,1
46,6,273771,4,9,1,1,3,1,2,0,0,40,1
56,2,335605,4,9,1,3,3,1,2,0,1887,50,5
34,1,33117,2,10,1,3,3,1,2,0,0,40,1
47,1,183013,4,9,1,3,3,1,2,0,0,40,1
32,1,110331,4,9,1,5,3,1,2,0,1672,60,1
33,1,185480,1,13,3,6,4,1,1,0,0,45,1
22,1,267174,4,9,3,7,2,5,2,0,0,40,1
30,1,117747,4,9,1,4,1,2,1,0,1573,35,0
26,1,214303,1,13,3,6,4,1,1,0,0,50,1
38,1,169469,4,9,2,4,4,1,2,0,0,80,1
30,1,237903,2,10,3,7,6,1,1,0,0,40,1
38,1,200818,5,15,1,6,3,1,2,0,0,40,1
27,0,90270,6,12,1,0,2,3,2,0,0,40,1
35,1,261293,11,14,3,4,4,1,2,0,0,60,1
32,1,375833,3,7,3,2,5,1,2,0,0,40,1
39,1,365739,2,10,2,2,4,1,2,0,0,40,1
25,1,181054,1,13,3,4,4,1,1,0,0,40,1
39,2,174308,4,9,1,5,3,1,2,0,0,40,1
38,1,31033,1,13,1,4,3,1,2,7298,0,40,1
37,1,123785,4,9,3,3,4,1,2,0,0,75,1
31,1,118710,11,14,1,1,3,1,2,0,1902,40,1
41,2,154374,2,10,2,3,6,1,2,0,0,45,1
61,5,321117,4,9,1,13,3,1,2,0,0,40,1
43,1,221550,11,14,3,3,4,1,1,0,0,30,18
31,1,316672,4,9,3,3,6,1,1,0,0,40,21
36,2,136028,8,5,1,2,3,1,2,0,0,30,1
23,1,122272,1,13,3,9,2,1,1,0,0,30,1
22,1,240817,4,9,3,4,2,1,1,2597,0,40,1
42,2,303044,4,9,1,10,3,2,2,0,0,40,2
79,1,124744,2,10,1,6,5,1,2,0,0,20,1
19,0,263338,2,10,3,0,2,1,2,0,0,45,1
